,theta_1,theta_2,mu_1,mu_2,size_1,size_2,prob_1,prob_2,total_mean_1,total_mean_2,foldChange,norm_total_mean_1,norm_total_mean_2,norm_foldChange,chi2LR1,pvalue_LR2,pvalue_LR3,FDR_LR2,FDR_LR3,pvalue,pvalue.adj.FDR,Remark
Calml4,0.906614734,0,1.66384348,14.25949367,19179.32207,7.778720205,0.999913256,0.352965093,0.079681275,14.94303797,0.005332334,0.155378486,14.25949367,0.010896494,550.6669644,1.67E-15,0,2.12E-14,0,0,0,NA
Hrsp12,0.557914416,0.005536434,2.072755156,14.35797278,16274.02367,5.632048177,0.99987265,0.281742985,0.529880478,15.08860759,0.035117918,0.916334661,14.27848101,0.06417592,534.5295467,0,0,0,0,0,0,NA
Pdzk1,0.92499993,0,1.5936239,11.86075949,14154.26618,7.714008505,0.999887423,0.394079179,0.059760956,12.44936709,0.004800321,0.119521912,11.86075949,0.010077088,532.2941104,7.72E-14,0,8.10E-13,0,0,0,NA
Ttc36,0.843195418,0.004200478,1.676916601,16.58230713,12983.88094,3.536275383,0.999870863,0.175771597,0.135458167,17.34810127,0.007808242,0.262948207,16.51265823,0.015924039,517.7776668,1.44E-14,0,1.64E-13,0,0,0,NA
Slc34a1,0.931582583,0.001747185,1.688720032,15.0389341,18377.49105,3.002215015,0.999908118,0.166409301,0.059760956,16.03164557,0.003727687,0.115537849,15.01265823,0.007696029,503.9758631,1.44E-14,0,1.64E-13,0,0,0,NA
Npnt,0.925306603,0.003812453,1.920200452,11.08657099,10857.96737,5.296910863,0.999823184,0.323308007,0.079681275,11.27848101,0.007064894,0.143426295,11.0443038,0.01298645,496.3163334,0,0,0,0,0,0,NA
Spink1,0.893100967,0,1.714392742,14.83544304,14197.22882,2.265129235,0.999879259,0.132459265,0.09561753,16.12658228,0.005929187,0.183266932,14.83544304,0.012353317,493.4575285,0,0,0,0,0,0,NA
Folr1,0.989999992,0.020599538,1.593624069,6.287753125,18212.32809,16.68393373,0.999912505,0.726282481,0.007968127,6.196202532,0.00128597,0.015936255,6.158227848,0.002587799,490.2267485,1.11E-16,9.39E-13,1.63E-15,8.60E-12,0,0,NA
Keg1,0.979999985,0.005347202,1.593624259,6.929458256,15744.19293,4.802103016,0.99989879,0.409331964,0.015936255,6.943037975,0.002295286,0.03187251,6.892405063,0.004624294,487.9983956,2.80E-10,0,1.90E-09,0,0,0,NA
Ggt1,0.949999947,0.015945087,1.593624501,9.313053939,10218.04722,6.501250006,0.999844063,0.411099346,0.039840637,9.392405063,0.004241793,0.079681275,9.164556962,0.008694504,483.5189941,1.57E-08,0,7.95E-08,0,0,0,NA
Sult1d1,0.971436057,0.027345424,1.813224065,17.73171602,10905.42344,2.662984075,0.99983376,0.130572358,0.027888446,18.37341772,0.001517869,0.051792829,17.24683544,0.003003034,477.6168661,0.001592898,2.55E-12,0.003107456,2.24E-11,0,0,NA
Lrpap1,0.572291135,0.024169098,1.881611486,10.24118448,12605.51968,8.604643187,0.999850753,0.456580806,0.442231076,10.37974684,0.042605189,0.804780876,9.993670886,0.080529055,471.4406105,0,0,0,0,0,0,NA
Fut9,0.984999988,0.031807093,1.593624246,7.635260487,10482.56958,6.527393968,0.999847997,0.460887752,0.011952191,7.569620253,0.001578968,0.023904382,7.392405063,0.003233641,470.6922204,1.30E-06,0,4.83E-06,0,0,0,NA
Amn,0.994999995,0.043937971,1.593624286,6.414763888,11803.07966,10.05271994,0.999865001,0.610458771,0.003984064,6.189873418,0.000643642,0.007968127,6.132911392,0.001299241,465.6701289,0.00026192,7.73E-14,0.000626152,7.59E-13,0,0,NA
Glud1,0.468548622,0,2.226485213,9.164556962,15748.63125,11.53939664,0.999858644,0.557352323,0.709163347,9.094936709,0.077973423,1.183266932,9.164556962,0.129113381,460.3153023,0,0,0,0,0,0,NA
Tmem174,0.989999992,0.03436231,1.593624069,4.765002313,18212.32809,13.558591,0.999912505,0.739952627,0.007968127,4.405063291,0.001808857,0.015936255,4.601265823,0.00346345,457.2126236,6.47E-12,1.23E-07,5.55E-11,7.96E-07,0,0,NA
Tmem27,0.964999973,0.027168565,1.593624269,6.909229603,12378.69752,5.597534308,0.999871277,0.447560564,0.027888446,6.696202532,0.004164815,0.055776892,6.721518987,0.008298257,453.4047312,0,0,0,0,0,0,NA
Lrp2,0.934999973,0.033214232,1.593622924,9.551421128,13011.83224,4.933412734,0.99987754,0.3405916,0.051792829,9.658227848,0.00536256,0.103585657,9.234177215,0.011217638,452.5970388,1.42E-07,1.11E-16,6.14E-07,1.40E-15,0,0,NA
Cldn6,0.974999999,0.015281693,1.593625406,6.504463425,10781.69604,3.141593813,0.999852213,0.325686831,0.019920319,6.291139241,0.003166409,0.039840637,6.405063291,0.006220179,449.8681744,6.65E-07,1.30E-11,2.62E-06,1.09E-10,0,0,NA
Rbm47,0.974999999,0.030707962,1.593625406,4.773156076,10781.69604,19.37292562,0.999852213,0.802321713,0.019920319,4.386075949,0.004541718,0.039840637,4.626582278,0.008611246,447.8789263,8.43E-10,1.16E-11,5.28E-09,9.75E-11,0,0,NA
Car4,0.994999995,0.05558898,1.593624286,5.294304998,11803.07966,9.514629729,0.999865001,0.642492516,0.003984064,4.810126582,0.000828266,0.007968127,5,0.001593625,444.8851502,0.021789354,4.79E-08,0.031450672,3.27E-07,0,0,NA
Cpn1,0.959999892,0.036259609,1.593619458,7.059782312,15484.47433,6.529814559,0.999897093,0.480500976,0.03187251,6.917721519,0.004607371,0.06374502,6.803797468,0.009369035,444.8747196,0,0,0,0,0,0,NA
