"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Slc12a1",0.944218462877929,0.247556889446278,2.38271293015986,20.9507242706899,17290.2047184006,0.964531075734384,0.999862211890521,0.0440118566034303,0.0886075949367089,14.7723577235772,0.00599820262917732,0.132911392405063,15.7642276422764,0.0084312023031577,173.869428946672,0.0141489187110213,9.02633918353768e-06,0.0224670150137543,6.49324982854506e-05,0,0,NA
"Gata3",0.14966892678762,0.820168990477164,5.91727818853477,2.98383309481703,5.63394452700397,13603.8011443761,0.487735771852548,0.999780709910551,3.9620253164557,0.439024390243902,9.02461322081575,5.03164556962025,0.536585365853659,9.37715765247411,155.875068201063,6.2943379106617e-06,1.44779631202629e-05,3.60827660030139e-05,0.000102273816400832,0,0,NA
"Paqr5",0.581939592779455,0.0675521788793815,2.10435338639034,4.35953663053215,13819.519110717,12.81263177978,0.999847749188664,0.746127773361798,0.537974683544304,3.31707317073171,0.162183544303797,0.879746835443038,4.0650406504065,0.216417721518987,143.024055557712,4.2410519540681e-14,1.61449742464015e-11,1.01600853334414e-12,3.06754510681628e-10,0,0,NA
"Mpped2",0.23185795764206,0.835252277938625,3.73249709605692,1.82589863496292,44.7410931529034,19333.1517350122,0.922999367761149,0.999905564998855,2.14556962025316,0.203252032520325,10.5562025316456,2.86708860759494,0.300813008130081,9.53113239822101,126.408748927295,1.27001972083374e-06,0.000560244872459759,8.85798564784037e-06,0.00302783326047136,0,0,NA
"Sostdc1",0.0970832168771555,0.00651781848188406,9.33682659535633,25.9905602326395,1.94724237004742,2.72933835556197,0.17256562114407,0.0950330081138662,6.87974683544304,23.6747967479675,0.290593702183892,8.43037974683544,25.8211382113821,0.326491407072028,125.676229359972,0.000813002686895548,0,0.00219590431607572,0,0,0,NA
"Kcnj1",0.960284819956349,0.389119615409444,1.59362527736955,3.5401392567247,11158.8424169286,14.8736833772012,0.999857207615245,0.807745554679,0.0316455696202532,1.77235772357724,0.0178550690976658,0.0632911392405063,2.16260162601626,0.029266203483392,123.80091403228,0.00639156367806504,0.0793627842459572,0.011546726513488,0.177040057164058,0,0,NA
"S100g",0.0442353986949415,2.06927037856381e-08,35.1100701324129,3.15447144654971,0.599940735205479,0.14308666802572,0.0168003515157006,0.0433917047263753,29.0316455696203,3.19512195121951,9.08624021644603,33.5569620253165,3.15447154471545,10.6379029100874,121.98471304517,0.00048568733358223,3.79918541071333e-10,0.00144656065299356,5.98100331800871e-09,0,0,NA
"Etnk1",0.539455348822198,0.148753055430111,2.11637345349539,5.13832530018188,13503.7128695506,3.31400172246617,0.999843299258756,0.392081578668961,0.626582278481013,3.73983739837398,0.167542652724271,0.974683544303797,4.3739837398374,0.222836572396593,117.427185386013,5.93981774876795e-09,2.1094237467878e-15,6.96348846717264e-08,6.11732886568461e-14,0,0,NA
"Fabp3",0.785537803737593,0.238619381273443,1.59362422909709,5.67005409406359,13970.676066677,1.28961522210893,0.999885943782624,0.185298347309719,0.20253164556962,3.82113821138211,0.0530029625639644,0.341772151898734,4.31707317073171,0.0791675606093113,116.133503183741,0.000184682585459672,2.52329290795217e-09,0.000696987017727941,3.47583598070411e-08,0,0,NA
"Shd",0.619179895854117,0.133208111268264,2.12732163406395,3.9675313976485,19596.6206077383,27.6882492901188,0.999891456248035,0.874666449177743,0.506329113924051,2.76422764227642,0.183172002978407,0.810126582278481,3.4390243902439,0.235568722506509,111.028163977292,2.47785558737945e-09,2.25927487829125e-09,3.32999616742946e-08,3.19194989214995e-08,0,0,NA
