"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Serpinb10",0.759746965316856,0.307305413933886,3.19312085846727,3.48739216402715,18102.6931778274,18795.5490945303,0.999823641836373,0.999814490909335,0.747549019607843,1.97383720930233,0.378728811112074,0.767156862745098,2.4156976744186,0.31757155329039,154.173438911902,0,8.43050393493083e-05,0,0.000389277367487243,0,0,NA
"Lmo1",0.346518573935629,0.041021334688159,3.85941927903876,4.73796218428244,18306.9240280915,13550.8755462884,0.99978922697163,0.999650479693795,2.45343137254902,3.80523255813953,0.644752018454441,2.52205882352941,4.54360465116279,0.555078845357721,144.887330674837,0,7.7715611723761e-15,0,1.02608893604028e-13,0,0,NA
"Fgfbp1",0.68591867489894,0.268947057980062,3.21510334876447,3.6583104321978,10045.4122940829,10941.9540097076,0.999680045520487,0.999665773798194,0.950980392156863,2.17151162790698,0.43793474551802,1.00980392156863,2.67441860465116,0.377578857630009,133.982345591317,0,0.000821785242448803,0,0.00291768289861024,0,0,NA
"Trim29",0.798133094699738,0.395012187268099,2.93825857078827,3.12806349337274,18441.2128259954,16740.312287604,0.999840694290709,0.999813176776828,0.575980392156863,1.49709302325581,0.384732533790215,0.593137254901961,1.89244186046512,0.313424294448962,123.837329361052,0,4.6577455314889e-07,0,3.1486359792865e-06,0,0,NA
"Xist",0.190998033855337,0.00148790988077538,5.72903913051319,6.55626675931868,15104.5714402205,20096.0603069188,0.999620852071185,0.999673860030345,4.49019607843137,5.33720930232558,0.841300354564484,4.63480392156863,6.54651162790698,0.707980705603733,113.511068047234,0,0,0,0,0,0,NA
"Gm10076",0.357691683582959,0.0933879610826398,4.16695620926972,5.11423677019688,11508.0312841664,16572.6360432441,0.999638039918853,0.999691499951211,2.4656862745098,3.74709302325581,0.658026437883144,2.67647058823529,4.63662790697674,0.577245067305919,104.422774056433,0,2.80976353295159e-11,0,3.16566691379213e-10,0,0,NA
"Krt15",0.374703517376734,0.0986917892045901,3.57869453893538,4.33800952989825,14768.4523027087,11812.7601789637,0.999757738489744,0.99963290399549,2.18627450980392,3.24709302325581,0.673302087173276,2.23774509803922,3.90988372093023,0.572330344777316,100.175009735347,0,0,0,0,0,0,NA
"Anxa2",0.331222952934855,0.0863815578328203,3.32037148251768,4.0854646550677,17762.6245923052,13998.2596990582,0.999813104707389,0.999708229970958,2.13480392156863,3.06686046511628,0.696087724189202,2.22058823529412,3.73255813953488,0.594923950888767,91.2428117981358,0,4.69409044967506e-09,0,4.21968769146322e-08,0,0,NA
"Irx4",0.646540064471456,0.301004209842589,2.9955955903635,3.34782596878867,14884.9134685523,12533.6468387702,0.999798790039793,0.999732964234387,1.00980392156863,1.88081395348837,0.536897293693366,1.05882352941176,2.34011627906977,0.452466203872854,90.3421565080057,0,2.56508481233375e-07,0,1.80624722201835e-06,0,0,NA
"Fabp5",0.256660657030388,0.0704224994923589,3.72919697008529,4.74709109095252,16960.5328182118,11699.0402625953,0.999780173345192,0.999594397014616,2.64950980392157,3.62790697674419,0.730313599798894,2.77205882352941,4.41279069767442,0.628187243276757,86.6555767446994,0,0,0,0,0,0,NA
"Irx2",0.362832219591512,0.0885788251079569,3.61972563564913,4.03790548290453,16614.6258641651,11436.3786603846,0.999782183647721,0.999647049086049,2.2156862745098,3.05232558139535,0.725901027077498,2.30637254901961,3.68023255813953,0.626692067032184,85.7368520609621,0,4.95071428296967e-08,0,3.9465599708579e-07,0,0,NA
"Dmkn",0.963857519084859,0.742950134960676,2.98383327944287,3.59626180836947,11385.914513905,11608.7530407007,0.999738005100363,0.99969030712781,0.0980392156862745,0.738372093023256,0.132777520457002,0.107843137254902,0.924418604651163,0.116660500678259,81.9685361867286,0,0.000846531970795095,0,0.00294370170914344,0,0,NA
"Krt5",0.181519142170117,0.0270761836600356,3.62040928780423,4.50870650723867,18573.8242754349,12736.5026152158,0.999805118015462,0.999646126481377,2.88480392156863,3.66860465116279,0.786349087971163,2.96323529411765,4.38662790697674,0.675515534245507,81.608270710557,0,0,0,0,0,0,NA
"Pkp1",0.919903027184919,0.650516074222999,2.96821584904499,2.96117686199536,10884.2453974713,10448.9314769191,0.999727366803439,0.999716685105743,0.232843137254902,0.816860465116279,0.285046402902798,0.237745098039216,1.03488372093023,0.229731218330029,81.0196829104668,0,0.202531525382509,0,0.260089876821003,0,0,NA
"Perp",0.216707856939015,0.0356244479302375,3.61721147761996,4.24723567138714,16023.3239372753,13173.0781068983,0.999774304313964,0.999677686058364,2.74754901960784,3.44186046511628,0.798274377318495,2.83333333333333,4.09593023255814,0.691743553347528,72.0779652794417,0,0,0,0,1.55431223447522e-15,3.46300765841079e-13,NA
"Mt2",0.25538846351288,0.0722829323657383,4.1474449420381,5.00728994301487,12403.6131259825,11911.5141843617,0.999665737832518,0.999579802717277,2.96323529411765,3.81104651162791,0.777538475344371,3.08823529411765,4.6453488372093,0.664801590223073,71.9071913726029,0,0,0,0,1.66533453693773e-15,3.47846751402869e-13,NA
"Pkp3",0.669818357474549,0.357211811868776,2.9989434460617,3.18832648412417,10625.2993285581,17759.5217084436,0.999717834090716,0.999820504501968,0.931372549019608,1.63953488372093,0.56807120011125,0.990196078431373,2.04941860465116,0.483159504936726,70.7122432546525,0,0.00359637353133258,0,0.0105518598401945,2.99760216648792e-15,5.89293320023685e-13,NA
"Sparc",0.280512715205682,0.0646854843301398,3.53601522530957,4.02488689481204,10117.1507751406,15504.4030289304,0.999650615091787,0.999740470993149,2.46078431372549,3.125,0.787450980392157,2.54411764705882,3.76453488372093,0.675811946400182,69.4359951814758,0,0,0,0,5.6621374255883e-15,1.05127018201756e-12,NA
