"","theta_1","theta_2","mu_1","mu_2","size_1","size_2","prob_1","prob_2","total_mean_1","total_mean_2","foldChange","norm_total_mean_1","norm_total_mean_2","norm_foldChange","chi2LR1","pvalue_LR2","pvalue_LR3","FDR_LR2","FDR_LR3","pvalue","pvalue.adj.FDR","Remark"
"Hoxc13",0.954143953913507,0.103114199335337,2.82143937226209,3.26128472518996,17749.2923740401,10674.5806814985,0.99984106459648,0.999694574546476,0.0997304582210243,2.075,0.0480628714318189,0.129380053908356,2.925,0.0442324970626857,241.328452563832,4.88498130835069e-15,0.000663332236791714,2.69628069871075e-14,0.00459455122836614,0,0,NA
"Sp8",0.988535995079935,0.208837135560945,2.82144241935206,3.31790086161947,14218.2751182132,15884.2617271039,0.999801601627039,0.999791163856338,0.032345013477089,1.8875,0.0171364309812392,0.032345013477089,2.625,0.0123219098960339,240.323832366334,5.21804821573824e-15,6.89870830017369e-07,2.85779152280548e-14,6.63120736608533e-06,0,0,NA
"Dlx1",1,0.355638142594476,0,3.00685085137703,1,10233.8692018363,1,0.999706272613256,0,1.35,0,0,1.9375,0,203.173947051689,5.12016039566632e-08,0.873196602782036,1.21797754866608e-07,0.922142600695827,0,0,NA
"Dlx2",0.98256974454723,0.269748172671449,2.62888243922572,3.18383314741194,12500.1698748076,16789.8516284768,0.999789736482985,0.999810407525507,0.0377358490566038,1.675,0.0225288651084202,0.045822102425876,2.325,0.0197084311509144,202.468522384872,1.10734754699138e-11,0.184648091957329,4.31041896390858e-11,0.372193657540236,0,0,NA
"Hoxc10",0.982989594216395,0.264986919717686,3.01068290915121,3.04416310656753,15922.846985005,14644.7899653066,0.999810956309423,0.999792176571643,0.0485175202156334,1.5375,0.0315561107093551,0.0512129380053908,2.2375,0.0228884639130238,201.981916567741,7.8442466016293e-05,0.249860826118726,0.000114503310414279,0.440765726973483,0,0,NA
"En1",0.940014890512091,0.211829788696036,2.87582616560372,4.0917557223385,12365.9260254246,13048.2447214253,0.99976749355353,0.999686511627286,0.150943396226415,2.4125,0.0625672108710529,0.172506738544474,3.225,0.0534904615641781,189.869131570206,0,0.00960835154142947,0,0.0468773024269714,0,0,NA
"Bhlha9",0.997133993687245,0.414722829501421,2.82143909620033,3.24632503303411,13153.826790763,12740.3421922338,0.999785550312898,0.999745258172089,0.00808625336927224,1.3125,0.00616095494801694,0.00808625336927224,1.9,0.00425592282593276,173.731753731017,1.8410040704131e-06,9.43653901370745e-05,3.48704926473688e-06,0.000779756118501089,0,0,NA
"Syt1",0.99713399719941,0.40466078149712,2.82143958486247,2.89750771682206,11760.3253102728,16578.076541251,0.999760145848313,0.99982525105532,0.00539083557951483,1.1875,0.00453965101432827,0.00808625336927224,1.725,0.00468768311262159,173.684880160106,0.000126317840471346,0.0140449668648152,0.00017938402872966,0.0646434468403382,0,0,NA
"Alcam",0.723662735813934,0.0270660496620663,3.1213079138632,4.53525135794938,15931.4864925929,15587.1875868001,0.999804117681907,0.99970912442422,0.692722371967655,3.3125,0.209123734933632,0.862533692722372,4.4125,0.195475057840764,169.668336832263,0,2.71843658694593e-11,0,3.17450487384677e-10,0,0,NA
"Bambi",0.936947748790335,0.313365927940307,2.82143772260748,4.07786347401841,15914.0603480506,11606.195678211,0.999822739292747,0.99964877111126,0.140161725067385,2.1,0.0667436786035169,0.177897574123989,2.8,0.0635348479014247,147.56101240776,1.99840144432528e-15,0.0186038375433267,1.1525474452374e-14,0.0794175904795186,0,0,NA
"Otx1",0.934283456881897,0.270868207545761,2.8711072786526,2.86299616370437,19458.1385607889,13366.7571585137,0.999852468739925,0.999785858077449,0.153638814016173,1.45,0.105957802769774,0.188679245283019,2.0875,0.0903852672014462,143.572562868981,2.22044604925031e-16,0.105080151234149,1.37008308628415e-15,0.273012615031258,0,0,NA
